sutta_uid,language,abstract,url
mn12,de,German translation of MN 12 from palikanon.com. Translator Kay Zumwinkel.,http://palikanon.com/majjhima/zumwinkel/m012z.html
mn12,de,German translation of MN 12 from palikanon.de. Translator Karl Eugen Neumann.,http://palikanon.de/majjhima/m012n.htm
mn13,en,English translation of MN 13 from Access to Insight. Translator Thanissaro Bhikkhu.,http://www.accesstoinsight.org/tipitaka/mn/mn.013.than.html
mn13,en,English translation of MN 13 from Metta Net. Translator Sister Uppalavanna.,http://www.metta.lk/tipitaka/2Sutta-Pitaka/2Majjhima-Nikaya/Majjhima1/013-mahadukkhakkhanda-sutta-e1.html
mn13,fr,French translation of MN 13 from Accès au Canon Pali (translated from English translation on Access to Insight).,http://www.canonpali.org/tipitaka/suttapitaka/majjhima/mn013.html
mn13,de,German translation of MN 13 from palikanon.com. Translator Kay Zumwinkel.,http://palikanon.com/majjhima/zumwinkel/m013z.html
mn13,de,German translation of MN 13 from palikanon.de. Translator Karl Eugen Neumann.,http://palikanon.de/majjhima/m013n.htm
mn14,en,English translation of MN 14 from Access to Insight. Translator Thanissaro Bhikkhu.,http://www.accesstoinsight.org/tipitaka/mn/mn.014.than.html
mn14,en,English translation of MN 14 from Metta Net. Translator Sister Uppalavanna.,http://www.metta.lk/tipitaka/2Sutta-Pitaka/2Majjhima-Nikaya/Majjhima1/014-culadukkhakkhanda-sutta-e1.html
mn14,de,German translation of MN 14 from palikanon.com. Translator Kay Zumwinkel.,http://palikanon.com/majjhima/zumwinkel/m014z.html
mn14,de,German translation of MN 14 from palikanon.de. Translator Karl Eugen Neumann.,http://palikanon.de/majjhima/m014n.htm
mn15,en,English translation of MN 15 from Metta Net. Translator Sister Uppalavanna.,http://www.metta.lk/tipitaka/2Sutta-Pitaka/2Majjhima-Nikaya/Majjhima1/015-anumana-sutta-e1.html
mn15,de,German translation of MN 15 from palikanon.com. Translator Kay Zumwinkel.,http://palikanon.com/majjhima/zumwinkel/m015z.html
mn15,de,German translation of MN 15 from palikanon.de. Translator Karl Eugen Neumann.,http://palikanon.de/majjhima/m015n.htm
mn16,en,English translation of MN 16 from Metta Net. Translator Sister Uppalavanna.,http://www.metta.lk/tipitaka/2Sutta-Pitaka/2Majjhima-Nikaya/Majjhima1/016-cetokhila-sutta-e1.html
mn16,de,German translation of MN 16 from palikanon.com. Translator Kay Zumwinkel.,http://palikanon.com/majjhima/zumwinkel/m016z.html
mn16,de,German translation of MN 16 from palikanon.de. Translator Karl Eugen Neumann.,http://palikanon.de/majjhima/m016n.htm
mn17,en,English translation of MN 17 from Metta Net. Translator Sister Uppalavanna.,http://www.metta.lk/tipitaka/2Sutta-Pitaka/2Majjhima-Nikaya/Majjhima1/017-vanapattha-sutta-e1.html
mn17,de,German translation of MN 17 from palikanon.com. Translator Kay Zumwinkel.,http://palikanon.com/majjhima/zumwinkel/m017z.html
mn17,de,German translation of MN 17 from palikanon.de. Translator Karl Eugen Neumann.,http://palikanon.de/majjhima/m017n.htm
mn18,en,English translation of MN 18 from Access to Insight. Translator Thanissaro Bhikkhu.,http://www.accesstoinsight.org/tipitaka/mn/mn.018.than.html
