sutta_uid,language,abstract,url
dn28,pi,Pali text from the Mahāsaṅgīti Tipiṭaka Buddhavasse 2500,/dn28/pi
dn28,vn,Hòa thượng Thích Minh Châu dịch Việt,/dn28/vn
dn28,de,German translation of DN 28 from palikanon.com. Neumann translation updated with original Nyanaponika renderings.,http://palikanon.com/digha/d28.htm
dn29,pi,Pali text from the Mahāsaṅgīti Tipiṭaka Buddhavasse 2500,/dn29/pi
dn29,vn,Hòa thượng Thích Minh Châu dịch Việt,/dn29/vn
dn29,de,German translation of DN 29 from palikanon.com. Neumann translation updated with original Nyanaponika renderings.,http://palikanon.com/digha/d29.htm
dn30,pi,Pali text from the Mahāsaṅgīti Tipiṭaka Buddhavasse 2500,/dn30/pi
dn30,vn,Hòa thượng Thích Minh Châu dịch Việt,/dn30/vn
dn30,de,German translation of DN 30 from palikanon.com. Neumann translation updated with original Nyanaponika renderings.,http://palikanon.com/digha/d30.htm
dn31,pi,Pali text from the Mahāsaṅgīti Tipiṭaka Buddhavasse 2500,/dn31/pi
dn31,en,Translated from the Pali by John Kelly,/dn31/en
dn31,vn,Hòa thượng Thích Minh Châu dịch Việt,/dn31/vn
dn31,en,English translation of DN 31 from Access to Insight. Translator Narada Thera.,http://www.accesstoinsight.org/tipitaka/dn/dn.31.0.nara.html
dn31,en,"English translation of DN 31 from Access to Insight. Translator John Kelly, Sue Sawyer, and Victoria Yareham.",http://www.accesstoinsight.org/tipitaka/dn/dn.31.0.ksw0.html
dn31,en,English translation of DN 31 from Metta Net. Translator Nārada Thera.,http://www.metta.lk/tipitaka/2Sutta-Pitaka/1Digha-Nikaya/Digha3/31-sigala-e2.html
dn31,de,German translation of DN 31 from palikanon.com. Neumann translation updated with original Nyanaponika renderings.,http://palikanon.com/digha/d31.htm
dn32,pi,Pali text from the Mahāsaṅgīti Tipiṭaka Buddhavasse 2500,/dn32/pi
dn32,en,Translation by Ānandajoti Bhikkhu,/dn32/en
dn32,vn,Hòa thượng Thích Minh Châu dịch Việt,/dn32/vn
dn32,en,English translation of DN 32 from Access to Insight. Translator Piyadassi Thera.,http://www.accesstoinsight.org/tipitaka/dn/dn.32.0.piya.html
dn32,de,German translation of DN 32 from palikanon.com. Neumann translation updated with original Nyanaponika renderings.,http://palikanon.com/digha/d32.htm
dn33,pi,Pali text from the Mahāsaṅgīti Tipiṭaka Buddhavasse 2500,/dn33/pi
dn33,vn,Hòa thượng Thích Minh Châu dịch Việt,/dn33/vn
dn33,de,German translation of DN 33 from palikanon.com. Neumann translation updated with original Nyanaponika renderings.,http://palikanon.com/digha/d33_01-3.htm
dn34,pi,Pali text from the Mahāsaṅgīti Tipiṭaka Buddhavasse 2500,/dn34/pi
dn34,vn,Hòa thượng Thích Minh Châu dịch Việt,/dn34/vn
dn34,de,German translation of DN 34 from palikanon.com. Neumann translation updated with original Nyanaponika renderings.,http://palikanon.com/digha/d34.htm
mn1,pi,Pali text from the Mahāsaṅgīti Tipiṭaka Buddhavasse 2500,/mn1/pi
mn1,en,Translated by Bhikkhu Bodhi,/mn1/en
mn1,vn,Hòa thượng Thích Minh Châu dịch Việt,/mn1/vn
mn1,en,English translation of MN 1 from Access to Insight. Translator Thanissaro Bhikkhu.,http://www.accesstoinsight.org/tipitaka/mn/mn.001.than.html
mn1,en,English translation of MN 1 from Wikipitaka. Translator unknown.,http://tipitaka.wikia.com/wiki/Mulapariyaya_Sutta
mn1,en,English translation of MN 1 from Metta Net. Translator Sister Uppalavanna.,http://www.metta.lk/tipitaka/2Sutta-Pitaka/2Majjhima-Nikaya/Majjhima1/001-mulapariyaya-sutta-e1.html
mn1,fr,French translation of MN 1 from Accès au Canon Pali (translated from English translation on Access to Insight).,http://www.canonpali.org/tipitaka/suttapitaka/majjhima/mn001.html
mn1,de,German translation of MN 1 from palikanon.com. Translator Kay Zumwinkel.,http://palikanon.com/majjhima/zumwinkel/m001z.html
mn1,de,German translation of MN 1 from palikanon.de. Translator Karl Eugen Neumann.,http://palikanon.de/majjhima/m001n.htm
mn2,pi,Pali text from the Mahāsaṅgīti Tipiṭaka Buddhavasse 2500,/mn2/pi
mn2,en,Translated by Bhikkhu Bodhi,/mn2/en
mn2,vn,Hòa thượng Thích Minh Châu dịch Việt,/mn2/vn
mn2,ko,이 책의 서문에서 빅쿠 보디 스님이 밝히고 있는 바와 같이,/mn2/ko
mn2,en,English translation of MN 2 from Access to Insight. Translator Thanissaro Bhikkhu.,http://www.accesstoinsight.org/tipitaka/mn/mn.002.than.html
mn2,en,English translation of MN 2 from Wikipitaka. Translator unknown.,http://tipitaka.wikia.com/wiki/Sabbasava_Sutta
mn2,en,English translation of MN 2 from Metta Net. Translator Sister Uppalavanna.,http://www.metta.lk/tipitaka/2Sutta-Pitaka/2Majjhima-Nikaya/Majjhima1/002-sabbasava-sutta-e1.html
mn2,fr,French translation of MN 2 from Accès au Canon Pali (translated from English translation on Access to Insight).,http://www.canonpali.org/tipitaka/suttapitaka/majjhima/mn002.html
mn2,de,German translation of MN 2 from palikanon.com. Translator Kay Zumwinkel.,http://palikanon.com/majjhima/zumwinkel/m002z.html
mn2,de,German translation of MN 2 from palikanon.de. Translator Karl Eugen Neumann.,http://palikanon.de/majjhima/m002n.htm
mn3,pi,Pali text from the Mahāsaṅgīti Tipiṭaka Buddhavasse 2500,/mn3/pi
mn3,vn,Hòa thượng Thích Minh Châu dịch Việt,/mn3/vn
mn3,en,English translation of MN 3 from Wikipitaka. Translator unknown.,http://tipitaka.wikia.com/wiki/Dhammadayada_Sutta
mn3,en,English translation of MN 3 from Metta Net. Translator Sister Uppalavanna.,http://www.metta.lk/tipitaka/2Sutta-Pitaka/2Majjhima-Nikaya/Majjhima1/003-dhammadayada-sutta-e1.html
mn3,fr,French translation of MN 3 from Accès au Canon Pali (translated from English translation on Access to Insight).,http://www.canonpali.org/tipitaka/suttapitaka/majjhima/mn003.html
mn3,de,German translation of MN 3 from palikanon.com. Translator Kay Zumwinkel.,http://palikanon.com/majjhima/zumwinkel/m003z.html
mn3,de,German translation of MN 3 from palikanon.de. Translator Karl Eugen Neumann.,http://palikanon.de/majjhima/m003n.htm
mn4,pi,Pali text from the Mahāsaṅgīti Tipiṭaka Buddhavasse 2500,/mn4/pi
mn4,en,Translated by Bhikkhu Bodhi,/mn4/en
mn4,vn,Hòa thượng Thích Minh Châu dịch Việt,/mn4/vn
mn4,ko,이 책의 서문에서 빅쿠 보디 스님이 밝히고 있는 바와 같이,/mn4/ko
mn4,en,English translation of MN 4 from Access to Insight. Translator Thanissaro Bhikkhu.,http://www.accesstoinsight.org/tipitaka/mn/mn.004.than.html
mn4,en,English translation of MN 4 from Wikipitaka. Translator unknown.,http://tipitaka.wikia.com/wiki/Bhayabherava_Sutta
mn4,en,English translation of MN 4 from Metta Net. Translator Sister Uppalavanna.,http://www.metta.lk/tipitaka/2Sutta-Pitaka/2Majjhima-Nikaya/Majjhima1/004-bhayabera-sutta-e1.html
mn4,fr,French translation of MN 4 from Accès au Canon Pali (translated from English translation on Access to Insight).,http://www.canonpali.org/tipitaka/suttapitaka/majjhima/mn004.html
mn4,de,German translation of MN 4 from palikanon.com. Translator Kay Zumwinkel.,http://palikanon.com/majjhima/zumwinkel/m004z.html
mn4,de,German translation of MN 4 from palikanon.de. Translator Karl Eugen Neumann.,http://palikanon.de/majjhima/m004n.htm
mn5,pi,Pali text from the Mahāsaṅgīti Tipiṭaka Buddhavasse 2500,/mn5/pi
mn5,vn,Hòa thượng Thích Minh Châu dịch Việt,/mn5/vn
mn5,en,English translation of MN 5 from Metta Net. Translator Sister Uppalavanna.,http://www.metta.lk/tipitaka/2Sutta-Pitaka/2Majjhima-Nikaya/Majjhima1/005-anangana-sutta-e1.html
mn5,fr,French translation of MN 5 from Accès au Canon Pali (translated from English translation on Access to Insight).,http://www.canonpali.org/tipitaka/suttapitaka/majjhima/mn005.html
mn5,de,German translation of MN 5 from palikanon.com. Translator Kay Zumwinkel.,http://palikanon.com/majjhima/zumwinkel/m005z.html
mn5,de,German translation of MN 5 from palikanon.de. Translator Karl Eugen Neumann.,http://palikanon.de/majjhima/m005n.htm
mn6,pi,Pali text from the Mahāsaṅgīti Tipiṭaka Buddhavasse 2500,/mn6/pi
mn6,en,Translated by Bhikkhu Bodhi,/mn6/en
mn6,vn,Hòa thượng Thích Minh Châu dịch Việt,/mn6/vn
mn6,en,English translation of MN 6 from Metta Net. Translator Sister Uppalavanna.,http://www.metta.lk/tipitaka/2Sutta-Pitaka/2Majjhima-Nikaya/Majjhima1/006-akankheyya-sutta-e1.html
mn6,fr,French translation of MN 6 from Accès au Canon Pali (translated from English translation on Access to Insight).,http://www.canonpali.org/tipitaka/suttapitaka/majjhima/mn006.html
mn6,de,German translation of MN 6 from palikanon.com. Translator Kay Zumwinkel.,http://palikanon.com/majjhima/zumwinkel/m006z.html
mn6,de,German translation of MN 6 from palikanon.de. Translator Karl Eugen Neumann.,http://palikanon.de/majjhima/m006n.htm
mn7,pi,Pali text from the Mahāsaṅgīti Tipiṭaka Buddhavasse 2500,/mn7/pi
mn7,en,Translated by Bhikkhu Bodhi,/mn7/en
mn7,vn,Hòa thượng Thích Minh Châu dịch Việt,/mn7/vn
mn7,ko,이 책의 서문에서 빅쿠 보디 스님이 밝히고 있는 바와 같이,/mn7/ko
mn7,en,English translation of MN 7 from BPS. Translator Nyanaponika Thera. With introduction and notes.,http://www.bps.lk/olib/wh/wh061-u.html
mn7,en,English translation of MN 7 from Access to Insight. Translator Nyanaponika Thera.,http://www.accesstoinsight.org/tipitaka/mn/mn.007.nypo.html
mn7,en,English translation of MN 7 from Metta Net. Translator Sister Uppalavanna.,http://www.metta.lk/tipitaka/2Sutta-Pitaka/2Majjhima-Nikaya/Majjhima1/007-vatthupama-sutta-e1.html
mn7,fr,French translation of MN 7 from Accès au Canon Pali (translated from English translation on Access to Insight).,http://www.canonpali.org/tipitaka/suttapitaka/majjhima/mn007.html
mn7,de,German translation of MN 7 from palikanon.com. Translator Kay Zumwinkel.,http://palikanon.com/majjhima/zumwinkel/m007z.html
mn7,de,German translation of MN 7 from palikanon.de. Translator Karl Eugen Neumann.,http://palikanon.de/majjhima/m007n.htm
mn8,pi,Pali text from the Mahāsaṅgīti Tipiṭaka Buddhavasse 2500,/mn8/pi
mn8,en,Translated by Bhikkhu Bodhi,/mn8/en
mn8,vn,Hòa thượng Thích Minh Châu dịch Việt,/mn8/vn
mn8,ko,이 책의 서문에서 빅쿠 보디 스님이 밝히고 있는 바와 같이,/mn8/ko
mn8,en,English translation of MN 8 from BPS. Translator Nyanaponika Thera. With introduction and notes.,http://www.bps.lk/olib/wh/wh061-u.html
mn8,en,English translation of MN 8 from Access to Insight. Translator Nyanaponika Thera.,http://www.accesstoinsight.org/tipitaka/mn/mn.008.nypo.html
mn8,en,English translation of MN 8 from Metta Net. Translator Sister Uppalavanna.,http://www.metta.lk/tipitaka/2Sutta-Pitaka/2Majjhima-Nikaya/Majjhima1/008-salleka-sutta-e1.html
mn8,fr,French translation of MN 8 from Accès au Canon Pali (translated from English translation on Access to Insight).,http://www.canonpali.org/tipitaka/suttapitaka/majjhima/mn008.html
mn8,de,German translation of MN 8 from palikanon.com. Translator Kay Zumwinkel.,http://palikanon.com/majjhima/zumwinkel/m008z.html
mn8,de,German translation of MN 8 from palikanon.de. Translator Karl Eugen Neumann.,http://palikanon.de/majjhima/m008n.htm
mn9,pi,Pali text from the Mahāsaṅgīti Tipiṭaka Buddhavasse 2500,/mn9/pi
